Faults,L_Number,ErrCode,M_Number,Date,Status,State,City,PartNo,TechnicianID,Qty
FALSE,a002,,0xa00031,2019-10-01T09:28:57,1,MD,Baltimore,100045,,7
TRUE,a002,,0xa00004,2019-10-01T20:27:52,1,NY,New York City,100044,,5
FALSE,a002,,0xa00030,2019-10-01T00:19:09,1,MD,Baltimore,100036,,3
FALSE,a002,,0xa00010,2019-10-01T02:22:41,1,NY,New York City,100045,,9
FALSE,a002,,0xa00016,2019-10-01T07:42:11,1,NY,New York City,100016,,9
FALSE,a002,,0xa00017,2019-10-01T13:42:07,1,MD,Baltimore,100057,,1
FALSE,a002,,0xa00017,2019-10-01T09:06:15,1,NY,New York City,100030,,7
FALSE,a002,,0xa00028,2019-10-01T11:05:16,1,NY,New York City,100021,,3
FALSE,a002,,0xa00004,2019-10-01T05:51:33,1,MD,Baltimore,100074,,6
FALSE,a002,,0xa00013,2019-10-01T12:52:18,1,MD,Baltimore,100094,,5
FALSE,a002,,0xa00002,2019-10-01T17:44:23,1,IL,Chicago,100005,,2
FALSE,a002,,0xa00018,2019-10-01T15:31:27,0,NY,New York City,100092,,9
TRUE,a002,,0xa00009,2019-10-01T13:41:54,0,NY,New York City,100028,,6
FALSE,a002,,0xa00012,2019-10-01T21:04:53,1,NY,New York City,100072,,1
FALSE,a002,,0xa00036,2019-10-01T15:26:39,0,MD,Baltimore,100080,,6
TRUE,a002,,0xa00033,2019-10-01T13:31:59,1,MD,Baltimore,100041,,5
FALSE,a002,,0xa00019,2019-10-01T08:57:13,1,MD,Baltimore,100093,,1
FALSE,a002,,0xa00029,2019-10-01T15:14:51,1,MD,Baltimore,100063,,8
FALSE,a002,,0xa00003,2019-10-01T20:13:27,1,MD,Baltimore,100052,,9
TRUE,a002,,0xa00030,2019-10-01T02:50:27,1,MD,Baltimore,100097,,2
FALSE,a002,,0xa00003,2019-10-01T06:12:07,1,NY,New York City,100090,,5
FALSE,a002,,0xa00034,2019-10-01T21:42:14,1,NY,New York City,100093,,3
FALSE,a002,,0xa00014,2019-10-01T03:20:12,1,MD,Baltimore,100010,,5
FALSE,a002,,0xa00024,2019-10-01T17:05:57,1,NY,New York City,100069,,7
FALSE,a002,,0xa00028,2019-10-01T19:50:01,1,MD,Baltimore,100059,,3
FALSE,a002,,0xa00011,2019-10-01T11:14:19,1,IL,Chicago,100081,,9
FALSE,a002,,0xa00024,2019-10-01T14:17:43,1,MD,Baltimore,100071,,4
TRUE,a002,,0xa00004,2019-10-01T03:15:01,1,NY,New York City,100043,,7
FALSE,a002,,0xa00036,2019-10-01T14:00:04,1,MD,Baltimore,100030,,7
FALSE,a002,,0xa00028,2019-10-01T08:15:55,1,MD,Baltimore,100055,,3
FALSE,a002,,0xa00013,2019-10-01T22:08:03,1,MD,Baltimore,100059,,1
FALSE,a002,,0xa00038,2019-10-01T05:13:33,1,MD,Baltimore,100040,,2
FALSE,a002,,0xa00017,2019-10-01T03:52:42,1,NY,New York City,100012,,5
FALSE,a002,,0xa00030,2019-10-01T14:20:57,1,NY,New York City,100044,,9
TRUE,a002,,0xa00008,2019-10-01T01:48:06,1,MD,Baltimore,100096,,7
FALSE,a002,,0xa00008,2019-10-01T21:37:18,1,NY,New York City,100053,,6
FALSE,a002,,0xa00011,2019-10-01T15:28:21,1,NY,New York City,100014,,3
FALSE,a002,,0xa00038,2019-10-01T15:10:40,1,NY,New York City,100006,,4
FALSE,a002,,0xa00032,2019-10-01T22:27:00,1,MD,Baltimore,100017,,7
FALSE,a002,,0xa00021,2019-10-01T02:18:12,1,MD,Baltimore,100076,,2
TRUE,a002,,0xa00004,2019-10-01T17:06:00,1,NY,New York City,100074,,3
FALSE,a002,,0xa00005,2019-10-01T02:14:43,0,NY,New York City,100013,,1
FALSE,a002,,0xa00031,2019-10-01T11:47:21,1,NY,New York City,100037,,4
FALSE,a002,,0xa00004,2019-10-01T04:22:05,1,MD,Baltimore,100055,,6
FALSE,a002,,0xa00027,2019-10-01T08:10:09,1,NY,New York City,100022,,3
FALSE,a002,,0xa00024,2019-10-01T18:58:46,1,MD,Baltimore,100040,,7
FALSE,a002,,0xa00006,2019-10-01T04:03:20,1,NY,New York City,100066,,3
FALSE,a002,,0xa00007,2019-10-01T11:46:14,1,NY,New York City,100040,,2
FALSE,a002,,0xa00030,2019-10-01T00:03:26,1,NY,New York City,100097,,2
FALSE,a002,,0xa00022,2019-10-01T21:43:26,1,NY,New York City,100020,,7
FALSE,a002,,0xa00012,2019-10-01T06:20:39,1,NY,New York City,100049,,4
FALSE,a002,,0xa00026,2019-10-01T21:24:42,1,MD,Baltimore,100070,,3
FALSE,a002,,0xa00016,2019-10-01T05:52:03,1,IL,Chicago,100078,,5
FALSE,a002,,0xa00008,2019-10-01T23:04:12,1,MD,Baltimore,100027,,8
FALSE,a002,,0xa00028,2019-10-01T14:18:47,1,MD,Baltimore,100062,,9
FALSE,a002,,0xa00032,2019-10-01T01:10:59,1,MD,Baltimore,100086,,8
FALSE,a002,,0xa00024,2019-10-01T10:57:36,1,MD,Baltimore,100077,,3
FALSE,a002,,0xa00028,2019-10-01T08:15:01,1,NY,New York City,100054,,5
FALSE,a002,,0xa00010,2019-10-01T06:37:50,1,MD,Baltimore,100002,,3
FALSE,a002,,0xa00034,2019-10-01T18:05:21,1,NY,New York City,100082,,3
FALSE,a002,,0xa00021,2019-10-01T03:23:27,0,MD,Baltimore,100014,,9
FALSE,a002,,0xa00018,2019-10-01T12:46:38,1,NY,New York City,100077,,3
FALSE,a002,,0xa00004,2019-10-01T02:06:02,1,IL,Chicago,100008,,6
FALSE,a002,,0xa00035,2019-10-01T08:13:09,1,MD,Baltimore,100081,,8
FALSE,a002,,0xa00018,2019-10-01T16:59:46,1,NY,New York City,100089,,7
FALSE,a002,,0xa00020,2019-10-01T23:59:31,1,NY,New York City,100008,,1
FALSE,a002,,0xa00006,2019-10-01T23:21:40,1,NY,New York City,100007,,3
FALSE,a002,,0xa00017,2019-10-01T17:07:58,1,NY,New York City,100026,,5
FALSE,a002,,0xa00010,2019-10-01T00:41:36,1,MD,Baltimore,100061,,3
FALSE,a002,,0xa00004,2019-10-01T12:00:37,1,IL,Chicago,100008,,1
FALSE,a002,,0xa00038,2019-10-01T18:45:57,1,NY,New York City,100089,,1
FALSE,a002,,0xa00013,2019-10-01T06:27:22,1,NY,New York City,100009,,4
FALSE,a002,,0xa00011,2019-10-01T08:50:14,1,NY,New York City,100017,,9
FALSE,a002,,0xa00039,2019-10-01T11:54:34,1,NY,New York City,100097,,8
FALSE,a002,,0xa00015,2019-10-01T09:27:38,0,IL,Chicago,100100,,3
FALSE,a002,,0xa00010,2019-10-01T04:34:12,0,MD,Baltimore,100068,,6
