Machine_ID,Line_ID,Part_ID,Output_Qty,Timestamp,Machine_Status,Rejects,City,State
0xa00013,a004,100072,6,2019-10-01T00:03:39,1,FALSE,Baltimore,MD
0xa00020,a004,100056,5,2019-10-01T01:35:43,1,FALSE,Baltimore,MD
0xa00005,a004,100095,6,2019-10-01T06:26:18,1,FALSE,New York City,NY
0xa00024,a004,100029,7,2019-10-01T15:31:05,1,FALSE,New York City,NY
0xa00020,a004,100051,9,2019-10-01T13:36:43,1,FALSE,New York City,NY
0xa00012,a004,100097,5,2019-10-01T00:33:15,1,FALSE,Baltimore,MD
0xa00009,a004,100083,5,2019-10-01T16:07:14,1,FALSE,Baltimore,MD
0xa00004,a004,100089,7,2019-10-01T16:27:31,1,FALSE,New York City,NY
0xa00018,a004,100002,2,2019-10-01T03:29:49,1,FALSE,Chicago,IL
0xa00036,a004,100037,4,2019-10-01T17:45:44,0,FALSE,Baltimore,MD
0xa00024,a004,100083,2,2019-10-01T21:56:43,1,FALSE,New York City,NY
0xa00027,a004,100084,7,2019-10-01T00:54:10,1,FALSE,Baltimore,MD
0xa00003,a004,100083,1,2019-10-01T17:03:52,1,FALSE,New York City,NY
0xa00003,a004,100048,7,2019-10-01T04:57:59,0,FALSE,New York City,NY
0xa00001,a004,100026,4,2019-10-01T01:11:45,1,FALSE,New York City,NY
0xa00029,a004,100073,9,2019-10-01T10:09:50,1,FALSE,Baltimore,MD
0xa00035,a004,100014,7,2019-10-01T06:59:34,1,FALSE,New York City,NY
0xa00025,a004,100091,8,2019-10-01T04:18:58,1,FALSE,Baltimore,MD
0xa00025,a004,100092,1,2019-10-01T12:46:49,1,FALSE,New York City,NY
0xa00004,a004,100037,8,2019-10-01T19:04:33,1,FALSE,Baltimore,MD
0xa00029,a004,100024,5,2019-10-01T11:19:01,1,FALSE,New York City,NY
0xa00014,a004,100003,6,2019-10-01T03:31:02,1,FALSE,Baltimore,MD
0xa00011,a004,100007,2,2019-10-01T03:04:35,1,FALSE,Baltimore,MD
0xa00029,a004,100085,4,2019-10-01T01:26:32,1,FALSE,New York City,NY
0xa00020,a004,100052,3,2019-10-01T16:21:10,1,FALSE,New York City,NY
0xa00007,a004,100014,6,2019-10-01T07:18:09,1,FALSE,Chicago,IL
0xa00012,a004,100066,4,2019-10-01T03:47:28,1,FALSE,Baltimore,MD
0xa00031,a004,100024,6,2019-10-01T17:40:37,1,FALSE,New York City,NY
0xa00012,a004,100064,1,2019-10-01T02:03:05,1,TRUE,Baltimore,MD
0xa00027,a004,100037,6,2019-10-01T04:26:32,1,FALSE,Chicago,IL
0xa00002,a004,100052,9,2019-10-01T17:41:39,0,FALSE,New York City,NY
0xa00003,a004,100060,7,2019-10-01T03:36:25,1,FALSE,Baltimore,MD
0xa00003,a004,100096,4,2019-10-01T09:29:00,1,FALSE,Baltimore,MD
0xa00013,a004,100088,7,2019-10-01T15:40:41,1,FALSE,Baltimore,MD
0xa00015,a004,100085,7,2019-10-01T10:51:54,1,FALSE,Chicago,IL
0xa00033,a004,100056,5,2019-10-01T12:05:51,0,FALSE,New York City,NY
0xa00031,a004,100085,4,2019-10-01T13:26:15,1,FALSE,New York City,NY
0xa00009,a004,100100,9,2019-10-01T23:34:19,1,FALSE,Chicago,IL
0xa00025,a004,100050,1,2019-10-01T07:13:39,1,FALSE,Baltimore,MD
0xa00004,a004,100048,7,2019-10-01T13:05:27,1,FALSE,Chicago,IL
0xa00013,a004,100001,9,2019-10-01T21:51:38,1,FALSE,Baltimore,MD
0xa00030,a004,100025,3,2019-10-01T11:29:07,1,FALSE,New York City,NY
0xa00039,a004,100078,9,2019-10-01T15:14:31,1,FALSE,New York City,NY
0xa00011,a004,100048,4,2019-10-01T15:41:30,1,FALSE,Baltimore,MD
0xa00028,a004,100013,1,2019-10-01T12:35:49,1,FALSE,Baltimore,MD
0xa00033,a004,100074,8,2019-10-01T11:17:22,1,FALSE,Baltimore,MD
0xa00007,a004,100049,7,2019-10-01T09:40:59,0,FALSE,New York City,NY
0xa00009,a004,100008,5,2019-10-01T06:32:19,1,FALSE,New York City,NY
0xa00024,a004,100072,8,2019-10-01T16:20:37,1,FALSE,Baltimore,MD
0xa00039,a004,100027,1,2019-10-01T15:50:44,1,FALSE,New York City,NY
0xa00011,a004,100076,8,2019-10-01T22:27:06,1,FALSE,Baltimore,MD
0xa00018,a004,100024,5,2019-10-01T12:45:57,1,FALSE,New York City,NY
0xa00019,a004,100060,9,2019-10-01T16:34:29,1,FALSE,Baltimore,MD
0xa00037,a004,100057,2,2019-10-01T17:51:54,0,FALSE,New York City,NY
0xa00011,a004,100099,9,2019-10-01T23:58:53,1,FALSE,Baltimore,MD
0xa00020,a004,100054,1,2019-10-01T17:42:47,1,FALSE,Chicago,IL
0xa00028,a004,100003,9,2019-10-01T23:35:13,1,FALSE,New York City,NY
0xa00006,a004,100037,2,2019-10-01T20:47:35,1,FALSE,Baltimore,MD
0xa00009,a004,100096,5,2019-10-01T11:42:56,1,FALSE,Chicago,IL
0xa00031,a004,100096,6,2019-10-01T02:16:46,1,FALSE,New York City,NY
0xa00008,a004,100080,6,2019-10-01T23:57:31,1,FALSE,Baltimore,MD
0xa00006,a004,100027,4,2019-10-01T10:56:55,1,FALSE,New York City,NY
0xa00005,a004,100074,3,2019-10-01T07:46:47,1,FALSE,Baltimore,MD
0xa00023,a004,100047,3,2019-10-01T21:56:06,1,FALSE,New York City,NY
0xa00028,a004,100064,9,2019-10-01T23:05:22,1,FALSE,Baltimore,MD
0xa00012,a004,100049,2,2019-10-01T04:57:37,1,FALSE,New York City,NY
0xa00012,a004,100097,7,2019-10-01T00:08:46,1,FALSE,Baltimore,MD
0xa00035,a004,100012,5,2019-10-01T06:13:57,1,FALSE,New York City,NY
0xa00029,a004,100090,2,2019-10-01T13:50:23,1,FALSE,Baltimore,MD
0xa00021,a004,100065,4,2019-10-01T18:53:39,1,FALSE,New York City,NY
0xa00033,a004,100035,2,2019-10-01T06:49:12,1,FALSE,New York City,NY
0xa00022,a004,100029,7,2019-10-01T23:06:39,1,FALSE,Chicago,IL
0xa00029,a004,100003,3,2019-10-01T06:12:21,1,FALSE,Chicago,IL
0xa00006,a004,100028,3,2019-10-01T15:41:26,1,FALSE,New York City,NY
0xa00007,a004,100018,8,2019-10-01T10:28:39,1,FALSE,New York City,NY
0xa00007,a004,100027,1,2019-10-01T15:24:15,0,FALSE,New York City,NY
0xa00010,a004,100062,2,2019-10-01T23:54:53,1,FALSE,New York City,NY
0xa00022,a004,100078,4,2019-10-01T01:47:00,1,FALSE,Baltimore,MD
0xa00025,a004,100040,1,2019-10-01T12:06:44,1,FALSE,New York City,NY
0xa00017,a004,100082,7,2019-10-01T01:44:48,1,FALSE,New York City,NY
0xa00023,a004,100037,5,2019-10-01T18:40:39,1,FALSE,New York City,NY
0xa00025,a004,100033,3,2019-10-01T21:27:18,1,FALSE,Chicago,IL
0xa00036,a004,100064,5,2019-10-01T23:22:21,0,FALSE,Baltimore,MD
0xa00004,a004,100024,2,2019-10-01T22:07:04,1,FALSE,Chicago,IL
0xa00016,a004,100046,7,2019-10-01T13:38:02,1,FALSE,New York City,NY
0xa00032,a004,100001,7,2019-10-01T10:27:10,1,FALSE,Baltimore,MD
0xa00009,a004,100072,2,2019-10-01T00:39:51,1,FALSE,Chicago,IL
0xa00022,a004,100089,6,2019-10-01T00:05:04,1,FALSE,Baltimore,MD
0xa00011,a004,100023,5,2019-10-01T21:02:29,1,TRUE,Chicago,IL
0xa00038,a004,100023,7,2019-10-01T10:02:59,1,FALSE,Baltimore,MD
0xa00029,a004,100043,3,2019-10-01T20:42:01,1,FALSE,Baltimore,MD
0xa00007,a004,100091,2,2019-10-01T07:59:23,1,TRUE,Chicago,IL
0xa00010,a004,100003,1,2019-10-01T20:46:11,1,FALSE,Baltimore,MD
0xa00017,a004,100023,1,2019-10-01T00:19:53,1,FALSE,Baltimore,MD
0xa00022,a004,100083,3,2019-10-01T14:49:30,1,FALSE,Chicago,IL
0xa00005,a004,100069,5,2019-10-01T23:59:10,1,FALSE,Chicago,IL
0xa00033,a004,100083,9,2019-10-01T10:13:05,1,FALSE,Baltimore,MD
0xa00019,a004,100021,5,2019-10-01T01:53:24,1,FALSE,New York City,NY
0xa00005,a004,100084,8,2019-10-01T17:14:14,1,FALSE,Baltimore,MD
0xa00005,a004,100051,5,2019-10-01T16:19:21,1,FALSE,New York City,NY
0xa00012,a004,100064,7,2019-10-01T17:39:20,1,FALSE,Baltimore,MD
0xa00015,a004,100048,9,2019-10-01T14:45:18,1,FALSE,New York City,NY
0xa00021,a004,100068,6,2019-10-01T15:08:27,1,FALSE,Baltimore,MD
0xa00013,a004,100056,5,2019-10-01T14:27:15,1,FALSE,New York City,NY
0xa00018,a004,100008,6,2019-10-01T05:59:51,1,FALSE,Baltimore,MD
0xa00024,a004,100071,2,2019-10-01T21:16:56,1,FALSE,Baltimore,MD
0xa00015,a004,100063,1,2019-10-01T11:36:56,1,FALSE,Baltimore,MD
0xa00007,a004,100037,2,2019-10-01T16:24:10,1,FALSE,Baltimore,MD
